0	0	0	0	0	0	0	0	0.1517	0	0.1763	0	0	0	0.193	0	0	0	0	0.1327	0	0	0	0	0
0	0	0	0	0.16	0	0	0	0	0.1705	0	0.1826	0	0	0	0	0	0.1345	0	0	0	0	0	0	0
0	0	0	0	0	0	0.1297	0	0.1254	0	0	0	0	0	0	0	0	0	0.1428	0	0	0	0	0.2087	0
0	0.2244	0	0	0	0	0	0	0	0.2294	0	0	0	0	0	0.1656	0	0	0	0	0	0.171	0	0	0
0.141	0	0.1483	0	0	0	0	0	0	0	0	0	0.2058	0	0	0	0	0	0	0	0	0	0	0	0.1352
0	0.1731	0	0	0.1956	0	0	0	0	0	0	0	0	0	0.13	0	0	0.1979	0	0	0	0	0	0	0
0	0	0	0	0	0.175	0	0	0	0	0.1991	0.1724	0	0	0.1336	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.1708	0	0.1657	0	0	0	0.1944	0	0	0	0	0	0.1619	0	0	0
0	0	0	0	0	0	0.1418	0	0	0	0	0.2363	0.2367	0	0	0	0.14	0	0	0	0	0	0	0	0
0	0.1506	0	0	0	0	0	0	0	0	0	0	0	0.1468	0	0	0	0	0.2027	0	0	0.23	0	0	0
0	0.1542	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1463	0	0	0	0	0	0	0	0.1558	0.1544
0	0	0	0	0	0	0	0	0.1853	0	0	0	0.1946	0	0	0.1277	0	0	0	0	0.226	0	0	0	0
0	0	0.2434	0	0	0	0	0	0.2399	0	0	0	0	0	0	0	0.199	0	0	0	0	0.1402	0	0	0
0	0	0	0	0	0	0	0.2086	0.1998	0	0	0	0	0	0.1707	0	0	0	0	0	0	0.2368	0	0	0
0.2028	0	0	0	0	0	0.1309	0.204	0.1619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.1714	0.2052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.2137	0	0	0
0	0	0	0	0	0	0	0.1626	0	0	0.1552	0	0	0	0	0.1902	0	0	0	0	0	0	0	0	0.1952
0	0	0	0	0	0.1625	0	0	0.175	0	0.1732	0	0	0	0	0	0	0	0	0.2342	0	0	0	0	0
0	0.2214	0	0	0.1322	0	0.2492	0	0	0	0	0	0.1642	0	0	0	0	0	0	0	0	0	0	0	0
0.2327	0	0	0	0	0	0	0	0.1642	0	0.1659	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0
0	0.1439	0	0	0	0	0	0	0.2165	0	0	0	0	0	0	0	0	0	0	0.1763	0	0	0	0	0.2399
0	0	0	0	0	0	0	0	0	0	0.1783	0.2172	0	0	0	0	0	0	0	0	0	0	0.1373	0.1477	0
0	0	0	0	0	0	0.1472	0	0	0	0	0.2143	0	0	0	0	0	0	0	0	0.1489	0	0	0.2484	0
0.2175	0.1568	0	0	0	0	0	0	0	0	0.2307	0.1923	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.1527	0	0	0.203	0.1505	0.1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0
